fold,family_name,baseline_rmse,rmse_permuted,delta
1,lags,46.25861034168865,55.20022985535363,8.941619513664982
1,meteo,46.25861034168865,45.24554314376294,-1.0130671979257144
1,profiles,46.25861034168865,45.53736639014666,-0.7212439515419931
1,ratios_shares,46.25861034168865,45.03289382072861,-1.2257165209600416
1,xmk,46.25861034168865,45.56697191534407,-0.6916384263445821
2,lags,58.899807832607046,59.63081276338738,0.7310049307803368
2,meteo,58.899807832607046,57.48698065580335,-1.4128271768036953
2,profiles,58.899807832607046,57.54121609002038,-1.3585917425866683
2,ratios_shares,58.899807832607046,58.361904325771725,-0.5379035068353204
2,xmk,58.899807832607046,58.43433870899235,-0.46546912361469595
3,lags,87.60307210837384,78.05418779707362,-9.548884311300213
3,meteo,87.60307210837384,68.96569282685712,-18.637379281516715
3,profiles,87.60307210837384,56.12895321455439,-31.474118893819444
3,ratios_shares,87.60307210837384,71.22188815876328,-16.38118394961056
3,xmk,87.60307210837384,72.75869101031033,-14.844381098063508
4,lags,50.799676364593275,58.476649367984415,7.67697300339114
4,meteo,50.799676364593275,87.50569433601905,36.70601797142577
4,profiles,50.799676364593275,42.39515732074131,-8.404519043851963
4,ratios_shares,50.799676364593275,49.781837063201216,-1.0178393013920584
4,xmk,50.799676364593275,47.149354316934044,-3.6503220476592304
5,lags,209.24250790997687,147.0294832420595,-62.21302466791735
5,meteo,209.24250790997687,188.91273516036713,-20.32977274960973
5,profiles,209.24250790997687,134.96925087259675,-74.27325703738012
5,ratios_shares,209.24250790997687,201.1158783583232,-8.126629551653679
5,xmk,209.24250790997687,189.31259207974844,-19.929915830228424
