group_id,feature,group_size,corr_threshold
corr_0236486778,freezing_level_height,1,0.95
corr_0483385472,precipitation_amount,1,0.95
corr_0886650671,wind_forecast,4,0.95
corr_0886650671,wind_forecast_lag_1,4,0.95
corr_0886650671,wind_forecast_lag_2,4,0.95
corr_0886650671,wind_forecast_roll_mean_6,4,0.95
corr_1192924449,convective_available_potential_energy,1,0.95
corr_1343014976,air_temperature_2m,2,0.95
corr_1343014976,apparent_temperature_2m,2,0.95
corr_1357953899,dew_point_temperature_2m,1,0.95
corr_1415424846,wind_forecast_lag_6,1,0.95
corr_1623867630,direct_normal_irradiance,1,0.95
corr_2275077728,solar_forecast_diff_1,1,0.95
corr_2509418395,residual_load_roll_mean_24,1,0.95
corr_2560062090,diffuse_horizontal_irradiance,1,0.95
corr_3117243768,solar_forecast_lag_2,1,0.95
corr_3191339436,gustiness_10m,1,0.95
corr_3285871255,solar_forecast,1,0.95
corr_3385211174,global_horizontal_irradiance,1,0.95
corr_3610666499,cloud_cover_low,1,0.95
corr_4124592631,wind_dir_sin,1,0.95
corr_4430662294,load_forecast_lag_6,1,0.95
corr_4744811163,clear_sky_proxy,1,0.95
corr_4926823990,wind_forecast_diff_6,1,0.95
corr_5023244165,solar_forecast_roll_mean_24,1,0.95
corr_5451305703,solar_forecast_roll_mean_6,1,0.95
corr_6196007373,residual_load_lag_1,3,0.95
corr_6196007373,residual_load_lag_2,3,0.95
corr_6196007373,residual_load_roll_mean_6,3,0.95
corr_6296024613,solar_forecast_lag_6,1,0.95
corr_6339531555,convective_inhibition,1,0.95
corr_6758112138,wind_gust_speed_10m,1,0.95
corr_6816881002,gust_ratio_10m,1,0.95
corr_6978208519,ws_ratio_80_10,1,0.95
corr_7206706905,wind_speed_80m,1,0.95
corr_8068499262,wind_dir_cos,1,0.95
corr_8176627145,wind_speed_10m,1,0.95
corr_8258561280,wind_forecast_diff_1,1,0.95
corr_8634248168,load_forecast,4,0.95
corr_8634248168,load_forecast_lag_1,4,0.95
corr_8634248168,load_forecast_lag_2,4,0.95
corr_8634248168,load_forecast_roll_mean_6,4,0.95
corr_8639525639,residual_load_lag_6,1,0.95
corr_9128207942,temp_apparent_gap,1,0.95
corr_9340067769,relative_humidity_2m,2,0.95
corr_9340067769,temp_dew_spread,2,0.95
corr_9476414212,solar_forecast_lag_1,1,0.95
corr_9625579007,wind_direction_80m,1,0.95
corr_9810209215,load_forecast_roll_mean_24,1,0.95
corr_9826885691,cloud_cover_total,1,0.95
corr_9954955942,wind_forecast_roll_mean_24,1,0.95
corr_9989339831,cloud_low_share,1,0.95
