feature,mean_abs_shap
residual_load_lag_1,9.24092669101211
solar_forecast,8.299080995399372
solar_forecast_diff_1,5.731693883534454
residual_load_roll_mean_24,5.244054845888588
wind_speed_80m,4.915013585105609
wind_forecast_lag_1,2.77254890801253
apparent_temperature_2m,2.76198874603237
wind_forecast,2.736398699826732
load_forecast,2.6154837999581932
solar_forecast_roll_mean_24,2.612191939408677
load_forecast_roll_mean_24,2.4591044557287733
air_temperature_2m,2.2970046320444304
wind_forecast_roll_mean_24,2.0024996361349747
convective_available_potential_energy,1.9758089020229024
wind_forecast_diff_6,1.7993373246899316
ws_ratio_80_10,1.7288660220413654
dew_point_temperature_2m,1.668123638665725
temp_dew_spread,1.5335770612077009
freezing_level_height,1.3186643744364872
wind_gust_speed_10m,1.2561988249839067
solar_forecast_lag_2,1.222746189384913
wind_dir_cos,1.1845066558520854
residual_load_roll_mean_6,1.1276083758845616
residual_load_lag_6,1.0162639475357262
wind_forecast_lag_2,1.0120465805290135
solar_forecast_lag_1,1.009698655972336
temp_apparent_gap,1.0032584538893787
residual_load_lag_2,0.9807528474982957
wind_forecast_lag_6,0.9269699065551632
load_forecast_roll_mean_6,0.9006375653975418
wind_forecast_diff_1,0.8937177101665512
load_forecast_lag_1,0.8855528011866681
convective_inhibition,0.8587842213675948
wind_speed_10m,0.8097865245365512
relative_humidity_2m,0.8055175659566501
wind_forecast_roll_mean_6,0.7136923428948433
load_forecast_lag_2,0.6820970380374626
wind_dir_sin,0.6262292358970317
solar_forecast_lag_6,0.6017534668046679
gust_ratio_10m,0.4982492305972003
solar_forecast_roll_mean_6,0.4898315551015507
load_forecast_lag_6,0.42109468079830337
diffuse_horizontal_irradiance,0.41058129305388547
gustiness_10m,0.39323238262677024
global_horizontal_irradiance,0.33271319327452253
wind_direction_80m,0.3254898457249101
cloud_low_share,0.3118363634576929
direct_normal_irradiance,0.26480115821904365
clear_sky_proxy,0.26344432269305557
cloud_cover_total,0.23758502516714206
cloud_cover_low,0.16603602426669362
precipitation_amount,0.03565613038106676
