feature,mean_delta,median_delta,std_delta,positive_fold_count,n_folds
residual_load_roll_mean_24,29.93497310955437,30.15878051591436,30.66439591438689,3,5
solar_forecast,13.07852834468792,5.016423463011549,13.925601581294044,5,5
wind_forecast_roll_mean_24,11.640807426554442,4.956787159312597,14.975767042313956,5,5
solar_forecast_lag_2,8.86274832686273,6.004292029685956,12.016864076727552,4,5
load_forecast,7.681807613332429,0.10791359231109965,10.65129231351517,4,5
solar_forecast_diff_1,6.754846355571482,4.273938132481618,19.983626407123694,3,5
apparent_temperature_2m,4.219716017403796,5.443761518450579,4.851982851541668,3,5
residual_load_lag_6,3.5155182803507428,0.4944182868363285,8.937077924568479,3,5
air_temperature_2m,3.1585829652474273,1.1045457586761032,5.24628964393003,3,5
load_forecast_lag_1,2.778270289126584,0.34876154598877207,4.886750295629028,4,5
convective_inhibition,1.6751236625646144,0.00369185193952859,7.633915048500285,3,5
wind_dir_sin,1.2731881759804522,0.372292745990805,2.4727317541318956,3,5
solar_forecast_roll_mean_6,1.1355900904504295,0.7154840520354355,1.0512234661705937,5,5
wind_forecast,1.0467659468765234,0.03545364176170551,2.7011524815213073,3,5
direct_normal_irradiance,0.7510834214360458,0.008338812372642224,1.6796544779863571,3,5
gust_ratio_10m,0.4660765663157861,0.010272027222313795,1.1059016824664782,3,5
gustiness_10m,0.4539987072569843,-0.059275018340656516,1.857441901824833,2,5
temp_dew_spread,0.4370388608339312,0.12077935234232484,1.0809904260946281,3,5
solar_forecast_lag_1,0.4092365529739979,0.6288588524620238,1.5246739913216125,3,5
temp_apparent_gap,0.3851035696619661,0.013298894000477901,1.1712393549549434,4,5
solar_forecast_roll_mean_24,0.3219472007846605,0.1377102090500557,0.624840175963174,3,5
convective_available_potential_energy,0.20336274538567523,0.6036094323725578,2.1131304158777815,4,5
wind_forecast_roll_mean_6,0.049822613158886496,0.10912819903198567,1.4218069069365422,4,5
freezing_level_height,0.019782138557886242,-0.09575276257985621,2.460579249997886,1,5
precipitation_amount,0.011838030636154429,0.002765101208602516,0.0305692909455113,3,5
wind_direction_80m,-0.0197180453242737,-0.004130186387556023,0.4184974340652766,2,5
cloud_low_share,-0.03780727297686894,-0.026533980855070638,0.16935543563512973,1,5
cloud_cover_low,-0.07388302349635154,0.004687333792176673,0.21510102538758472,3,5
wind_gust_speed_10m,-0.12244327650311533,-0.1767813597057568,0.4335606426501455,1,5
dew_point_temperature_2m,-0.17527977484048735,-0.014393295326499356,0.8170123278774853,2,5
residual_load_roll_mean_6,-0.28323133799275696,-0.07140623216520936,0.5374705916029316,1,5
wind_speed_10m,-0.2869012503053838,-0.07760914903256833,0.8150718010710147,2,5
clear_sky_proxy,-0.29435823962411833,-0.2552115284769485,0.25641658994537037,1,5
relative_humidity_2m,-0.31824360175484967,0.003365243044527233,1.2357817269980997,3,5
load_forecast_lag_6,-0.32774802728239083,-1.082550359571485,5.337874791600105,1,5
global_horizontal_irradiance,-0.35988994397167173,-0.20888671310416385,0.910104736768171,2,5
wind_dir_cos,-0.3618236322854386,-0.1834061991815048,0.6503902534677596,1,5
solar_forecast_lag_6,-0.38309488609954345,-0.24733105340936845,0.8734844940138032,2,5
load_forecast_roll_mean_24,-0.3931397346739729,0.04728761790042313,0.933783175839155,3,5
diffuse_horizontal_irradiance,-0.6038944639291899,-0.2389001652699818,0.6887468383633333,1,5
residual_load_lag_1,-0.6857401959244385,0.2415734866931416,6.997322424287021,4,5
wind_forecast_lag_6,-0.6910897687429156,0.10143239597669407,1.8292353496445755,4,5
wind_forecast_lag_1,-0.7026113668601497,-0.6410999475328651,0.7326904377300612,1,5
load_forecast_roll_mean_6,-0.7638135310706161,-0.09917014247210432,1.185571577657344,2,5
wind_speed_80m,-0.8785860199860906,-0.5049170272158605,0.916279676956889,1,5
wind_forecast_lag_2,-1.0518822362756866,-0.17038599522150832,1.8929292582215362,1,5
load_forecast_lag_2,-1.0900874367756628,-0.17616331571670685,1.6723235647396564,2,5
cloud_cover_total,-1.557333569362727,-0.016392955991115343,2.6785586837951625,2,5
wind_forecast_diff_6,-1.98530014190345,-0.04974124273918079,5.866772961089317,2,5
residual_load_lag_2,-2.0776788182765102,0.15934804027305205,5.592648483691677,4,5
wind_forecast_diff_1,-2.3250702661884106,-0.2519576212536023,3.0941950860102585,1,5
ws_ratio_80_10,-3.4417919604697986,-3.73941051259051,3.271458799811492,1,5
